id,success_loan,failed_loans,income,nomalized_success_loan,nomalized_failed_loans,nomalized_income,cluster,priority,score,final_priority
348.0,2.0,0.0,350000.0,0.05,0.0,0.0520134228187919,0,Low Priority,0.02365308550300857,Low Priority
349.0,2.0,0.0,600000.0,0.05,0.0,0.0939597315436241,0,Low Priority,0.12279076775379325,Low Priority
351.0,3.0,0.0,200000.0,0.1,0.0,0.0268456375838926,0,Low Priority,0.03873090992171202,Low Priority
352.0,1.0,1.0,149997.0,0.0,0.1111111111111111,0.0184558724832214,0,Low Priority,-0.11629283688958295,Low Priority
353.0,3.0,0.0,250000.0,0.1,0.0,0.035234899328859,0,Low Priority,0.05855844637186888,Low Priority
355.0,1.0,0.0,275000.0,0.0,0.0,0.0394295302013422,0,Low Priority,-0.08064865294140118,Low Priority
357.0,2.0,0.0,900000.0,0.05,0.0,0.1442953020134228,0,Low Priority,0.24175598645473503,Low Priority
359.0,4.0,0.0,900000.0,0.15,0.0,0.1442953020134228,0,Low Priority,0.3908768539930835,Low Priority
360.0,7.0,1.0,300000.0,0.3,0.1111111111111111,0.0436241610738255,1,Medium Priority,0.3905535647281204,Low Priority
361.0,3.0,2.0,700000.0,0.1,0.2222222222222222,0.110738255033557,0,Low Priority,0.2648579680820766,Low Priority
363.0,2.0,1.0,800000.0,0.05,0.1111111111111111,0.1275167785234899,0,Low Priority,0.21602676038381866,Low Priority
365.0,2.0,1.0,400000.0,0.05,0.1111111111111111,0.0604026845637583,0,Low Priority,0.057406468782563,Low Priority
366.0,8.0,1.0,290000.0,0.35,0.1111111111111111,0.0419463087248322,1,Medium Priority,0.4611484912072632,Low Priority
370.0,2.0,0.0,200000.0,0.05,0.0,0.0268456375838926,0,Low Priority,-0.035829523847462214,Low Priority
371.0,2.0,0.0,250000.0,0.05,0.0,0.035234899328859,0,Low Priority,-0.01600198739730538,Low Priority
372.0,4.0,0.0,600000.0,0.15,0.0,0.0939597315436241,0,Low Priority,0.2719116352921417,Low Priority
373.0,3.0,0.0,249997.0,0.1,0.0,0.0352343959731543,0,Low Priority,0.058557256719681844,Low Priority
374.0,1.0,1.0,150000.0,0.0,0.1111111111111111,0.0184563758389261,0,Low Priority,-0.11629164723739593,Low Priority
377.0,1.0,0.0,350000.0,0.0,0.0,0.0520134228187919,0,Low Priority,-0.05090734826616568,Low Priority
378.0,1.0,0.0,150000.0,0.0,0.0,0.0184563758389261,0,Low Priority,-0.13021749406679353,Low Priority
379.0,7.0,1.0,500000.0,0.3,0.1111111111111111,0.0771812080536912,1,Medium Priority,0.469863710528748,Low Priority
380.0,10.0,0.0,220000.0,0.45,0.0,0.0302013422818791,1,Medium Priority,0.5685849608859943,Low Priority
381.0,1.0,0.0,300000.0,0.0,0.0,0.0436241610738255,0,Low Priority,-0.07073488471632251,Low Priority
382.0,2.0,0.0,300000.0,0.05,0.0,0.0436241610738255,0,Low Priority,0.0038255490528517344,Low Priority
383.0,7.0,0.0,400000.0,0.3,0.0,0.0604026845637583,1,Medium Priority,0.4162827907990365,Low Priority
385.0,2.0,1.0,200000.0,0.05,0.1111111111111111,0.0268456375838926,0,Low Priority,-0.021903677018064616,Low Priority
386.0,2.0,0.0,350000.0,0.05,0.0,0.0520134228187919,0,Low Priority,0.02365308550300857,Low Priority
